"","Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
"98",2013,"HOR","US2","1_U2","coarse","alder","P",4,44,7.37045454545455,324.3,3.215,0.97,1.19828656517429,0.027233785572143,0.00369499403383994
"99",2013,"HOR","US2","1_U2","coarse","alder","M",5,44,7.37045454545455,324.3,3.215,1.59,0.704093341457442,0.0160021213967601,0.00217111730329153
"100",2013,"HOR","US2","1_U2","coarse","alder","S",6,44,7.37045454545455,324.3,3.215,1.48,0.775785269913559,0.0176314834071263,0.00239218399603318
"101",2013,"HOR","US2","1_U2","coarse","alder","M",1,44,7.37045454545455,324.3,3.215,1.53,0.742559622285239,0.0168763550519372,0.00228973056517187
"102",2013,"KER","DS","3_D","coarse","alder","P",3,34,8.38235294117647,285,3.215,0.88,1.29566072919947,0.0381076685058667,0.00454617799719111
"103",2013,"KER","DS","3_D","coarse","alder","P",4,34,8.38235294117647,285,3.215,1.23,0.960813188305257,0.0282592114207428,0.00337127434493072
"104",2013,"KER","DS","3_D","coarse","alder","M",5,34,8.38235294117647,285,3.215,1.73,0.619705949179895,0.0182266455641146,0.0021744068392277
"105",2013,"KER","DS","3_D","coarse","alder","S",6,34,8.38235294117647,285,3.215,1.14,1.03679909528318,0.0304940910377405,0.00363789156239712
"106",2013,"KER","DS","3_D","coarse","alder","M",1,34,8.38235294117647,285,3.215,0.92,1.25120896662863,0.0368002637243716,0.00439020690045135
"107",2013,"KER","DS","3_D","coarse","alder","P",2,34,8.38235294117647,285,3.215,0.26,2.51490100565619,0.0739676766369468,0.00882421405493401
"108",2013,"KER","US1","2_U1","coarse","alder","P",3,34,7.63529411764706,259.6,3.215,0.61,1.66212367950436,0.0488859905736577,0.00640263358822944
"109",2013,"KER","US1","2_U1","coarse","alder","P",1,34,7.63529411764706,259.6,3.215,0.56,1.74764585294252,0.0514013486159566,0.00673207185262914
"110",2013,"KER","US1","2_U1","coarse","alder","P",2,34,7.63529411764706,259.6,3.215,0.72,1.49633142466162,0.0440097477841653,0.00576398853875816
"111",2013,"KER","US1","2_U1","coarse","alder","P",4,34,7.63529411764706,259.6,3.215,1.72,0.625503066864221,0.0183971490254183,0.00240948793090994
"112",2013,"KER","US1","2_U1","coarse","alder","P",5,34,7.63529411764706,259.6,3.215,1.45,0.7962638012571,0.0234195235663853,0.00306727196169915
