"","Site_loc","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med","loc"
"11","EkDS",35.0022536,0.000648048,2.64558e-05,0.0002263685,0.000410029,0.000573886,4.1e-09,2.670205e-05,0.00040611,0.0105451435033965,4.52663081671092e-05,0.000195989778754352,0.0109609251966408,0.000234634720867045,1.12092307111561e-05,1.82068416298906e-05,0.000170219668602445,0.0137419681145781,3.81469241317814e-05,0.000221969409261445,0.0141858095177545,0.000255274007857101,2.11455091702726e-05,1.50544925107919e-05,0.000202768753557718,0.0446959434255133,3.65719547143646e-05,0.00130865119704221,0.0474405606948956,0.00133849609469609,8.6246708949689e-05,1.17765818221936e-05,0.00113813818867607,0.0412945277710795,3.22779649133489e-05,0.00140732012561674,0.0441294687717976,0.00145769985226403,6.49672384226182e-05,1.02731547863711e-05,0.00125544832246177,"DS"
"12","EkUS1",32.01732319,0.0003489365,6.5834e-06,0,0.000334932,0.000335216,0,4.3449e-06,0.0002889945,0.00618499173907947,2.44253732168033e-07,1.53219443989692e-05,0.00620073571957164,1.5743980492174e-05,3.92272030365652e-06,8.68304123284561e-06,3.65450057859201e-06,0.0077358872044304,2.28029399632746e-07,7.65720625315084e-05,0.0078009112197462,7.67062410800768e-05,5.93509371303611e-06,4.76441920065289e-06,6.88089038894246e-05,0.0253891121407129,2.25456433929864e-07,1.71384049588184e-05,0.0254065906458422,1.74785051293596e-05,1.37270426186257e-05,3.38625336734351e-06,3.37829816516104e-08,0.0236640622393435,2.16326530612245e-07,1.32146025360369e-05,0.0236776055988368,1.35433594933652e-05,8.6904582822241e-06,5.00182620066775e-06,3.36669699727025e-08,"S1"
"13","ElgDS",39.1906648,0.0003418585,2.48835e-05,0.0001822205,8.716695e-05,0.0003230145,5e-11,9.64395e-06,7.75237e-05,0.00827455499766213,2.72688970132753e-05,9.04248013747722e-05,0.00839843407781104,0.000123879080148916,1.2474454649809e-06,1.43515610533168e-05,5.07811820566244e-05,0.0106537507916087,2.37642730266418e-05,9.15467843325317e-05,0.0107761826399055,0.00011129604988896,3.94414702890212e-06,1.33180076224991e-05,6.43799019607843e-05,0.0355588382523153,2.02739291872684e-05,0.00073165600008536,0.0366063879746369,0.000928660245881966,1.40874040409354e-05,1.02784606028867e-05,0.000697401000820497,0.0325385425404631,1.82387207363747e-05,0.000792115332021819,0.0336443704519606,0.00101681452693079,7.67499589018576e-06,6.88465732189908e-06,0.000770940674317372,"DS"
"14","ElgUS1",46.54743772,4.554805e-05,1.062215e-05,5.835e-07,3.679005e-05,3.737355e-05,0,7.729e-07,3.02374e-05,0.00338285063055677,3.41725355789177e-07,1.43837524671119e-05,0.00338737885507708,1.46205616206053e-05,0,4.06767151734571e-06,5.92621715447353e-07,0.00410977306690263,2.97996850505046e-07,2.48441627550358e-05,0.00412301969918194,2.51081332166118e-05,0,1.42032810080248e-06,1.17647058823529e-05,0.0137341035468758,2.67941706522241e-07,8.39972324101949e-07,0.013734970600283,1.14446012965627e-06,0,8.00377182380714e-07,5.47832134890979e-09,0.0126724962824532,2.3446833501919e-07,1.99872757657835e-06,0.0126741896645557,2.26454411715612e-06,0,1.99735087817612e-06,5.45950864422202e-09,"S1"
"15","HeDS",30.39975462,0.0009348725,NA,0.000297383,0.0006376664,0.0009348725,3.65e-09,4.19004e-05,0.00059580425,0,5.48234538459811e-05,0.000606014825891625,0.000660838279737607,0.000660838279737607,8.33551458637491e-06,2.32690263538234e-05,0.000530375467258359,0,4.65798501707343e-05,0.00062696436253756,0.000673544212708294,0.000673544212708294,2.09749741102977e-05,2.1333034912245e-05,0.000534864475878683,0,0.000780720111797798,0.00851930448379788,0.00930002459559568,0.00930002459559568,6.88975371428885e-05,1.69041309766641e-05,0.00840894761580938,0,0.000777248015625542,0.00938248355756421,0.0101597315731898,0.0101597315731898,3.84126816355234e-05,1.15367695905099e-05,0.00931368026363999,"DS"
"16","HeUS1",37.25752766,2.37388e-05,NA,1.4e-09,2.373745e-05,2.37388e-05,5e-10,2.367415e-05,0,0,2.18430075761755e-06,2.79828234636312e-05,3.01671242212488e-05,3.01671242212488e-05,2.85452229424917e-06,1.47722977651727e-05,3.69504172281361e-08,0,1.89768566303158e-06,3.45537711723333e-05,3.64514568353649e-05,3.64514568353649e-05,7.07509881422925e-06,1.57598579388785e-05,3.65714285714286e-08,0,1.39998605346539e-06,5.71879566584943e-05,5.85879427119597e-05,5.85879427119597e-05,2.3073812822506e-05,1.25728052671996e-05,4.26666666666667e-08,0,1.21863562983096e-06,3.60028549915492e-05,3.72214906213802e-05,3.72214906213802e-05,1.29508928571429e-05,8.12834308678732e-06,4.26666666666667e-08,"S1"
"17","HocDS",27.79810682,0.0001991875,NA,0.00011412135,8.507405e-05,0.0001991875,1e-10,1.237175e-05,7.27008e-05,0,3.80438263631473e-05,0.000170597399760523,0.00020864122612367,0.00020864122612367,5.19820633744489e-06,2.69615215503199e-05,9.83582859996712e-05,0,3.36570110708635e-05,0.000170129442790967,0.000203786453861831,0.000203786453861831,8.6021554075113e-06,1.1855776345928e-05,0.000104151230680856,0,0.000355017150266552,0.00147407874284843,0.00182909589311498,0.00182909589311498,2.19493560532668e-05,8.48129772144152e-06,0.00142104784559121,0,0.00035299444545307,0.0016124496806312,0.00196544412608427,0.00196544412608427,1.34109277677316e-05,8.13184915985338e-06,0.00157354400716619,"DS"
"18","HocUS1",34.78184597,7.97159e-05,NA,3e-10,7.97156e-05,7.97159e-05,0,1.115595e-05,6.85598e-05,0,8.46963101455755e-06,3.75811613655945e-05,4.6050792380152e-05,4.6050792380152e-05,2.62515728603493e-06,2.30913319466162e-05,1.0420004714766e-05,0,7.27713123538872e-06,3.32148705687528e-05,4.04920018041415e-05,4.04920018041415e-05,4.11754289033391e-06,6.21899443973161e-06,2.12428192199957e-05,0,7.66232069846735e-06,0.000226399370263704,0.000234061690962172,0.000234061690962172,1.00995415328829e-05,3.18899188150924e-06,0.000210101022783015,0,6.95237341744486e-06,0.000244892508313036,0.000251844881730481,0.000251844881730481,6.28224206349206e-06,3.77380684975417e-06,0.000232753126066456,"S1"
"19","HorDS",36.18748516,0.000339791,NA,6.54307e-05,0.000274381,0.000339791,6.165e-08,6.253005e-05,0.0002118085,0,1.28188003483278e-05,0.000379269415668027,0.000392088216016355,0.000392088216016355,0.000125885507647079,7.27519912300692e-05,0.000180631916790879,0,9.82075997438688e-06,0.000383023079905155,0.000392843839879542,0.000392843839879542,0.00012306363580689,7.50925248022453e-05,0.00018486691929602,0,0.000569266612874752,0.00247641458906985,0.0030456812019446,0.0030456812019446,0.000137906145607116,0.000125092295339417,0.00221341614812332,0,0.000568499975196405,0.00275636827130346,0.00332486824649986,0.00332486824649986,0.000128132498141741,0.000177940544443112,0.0024502952287186,"DS"
"20","HorUS1",35.07463518,5.81967e-05,NA,6.335e-08,5.813335e-05,5.81967e-05,0,1.30095e-06,5.68115e-05,0,3.70068086755684e-07,1.43386073673139e-05,1.47086754540696e-05,1.47086754540696e-05,8.6364532656079e-07,5.94798877252914e-06,5.1001723707677e-07,0,3.15308670373776e-07,2.24786087859747e-05,2.27939174563485e-05,2.27939174563485e-05,8.44413128397062e-07,3.87034885530535e-06,9.81992156862745e-06,0,2.12017927993142e-07,1.7949497800207e-05,1.81615157282001e-05,1.81615157282001e-05,9.18635665655059e-07,2.38853330665148e-06,2.32319344574248e-08,0,1.86987488955544e-07,1.25492790358533e-05,1.27362665248088e-05,1.27362665248088e-05,8.36528461702314e-07,1.5704866978998e-06,2.32162572035183e-08,"S1"
