Year,Site,Location,Cond,pH,Alkal,Hard,Na,K,Ca,Mg,NH4,NO2,NO3,TN,SRP,TP,Ch,S,TOC,DOC,Silica,SS
2014,MUR,U1,444.4,8.316,4.824,2.567,8.323,4.146,75.527,11.57,12.14,5.6,3.14,3.34,7,20.84,12.17,9.61,2.12,1.92,10.18,1.55
2014,MUR,U2,442.74,8.336,4.803,2.549,8.297,4.012,63.478,11.6,9.46,5.4,3.15,3.29,5.76,15.2,12.13,9.58,1.99,1.9,10.19,2.2
2014,REI,D,620.62,8.138,5.57,2.95,28.311,10.462,98.763,10.07,20,11.38,4.93,5.31,31.32,81.52,33.97,25.84,3.14,2.96,10.33,3.9
2014,REI,U1,485,8.2,5.211,2.794,7.906,3.339,93.814,7.14,15.92,7.76,4.02,4.41,10.2,22.04,12.34,9.55,2.35,2.14,9.16,2.45
2014,REI,U2,489.02,8.226,5.256,2.819,7.901,3.353,94.826,7.08,12.1,7.4,4.16,4.37,7.44,18.18,12.45,9.35,2.39,2.22,9.39,1.95
2014,UNT,D,558.86,8.044,4.958,2.897,18.113,5.724,89.091,12.53,153.46,105.08,5.92,6.37,28.32,80.9,27.31,28.7,2.45,2.02,15.78,7.4
2014,UNT,U1,492.12,8.194,5.194,2.897,5.873,4.114,88.973,12.21,25.5,9.04,3.61,3.78,18.84,38.14,10.56,20.86,1.69,1.39,15.13,7.45
2014,UNT,U2,492.7,8.184,5.225,2.914,6.001,4.497,88.897,12.27,24.94,9.08,3.6,3.79,18.76,34.46,10.46,21.05,1.79,1.3,15.15,7.4
2014,VAL,D,596.82,8.028,5.044,2.79,26.758,6.501,96.824,6.28,962.1,72.62,5.55,6.29,322.76,468,40.9,21.16,3.64,3.49,8.79,4.9
2014,VAL,U1,494.34,8.178,5.626,2.948,4.915,2.762,104.008,5.28,58.58,56.72,2.61,3.09,46.2,70.32,6.43,10.39,2.13,1.98,5.18,5.35
2014,VAL,U2,492.42,8.182,5.642,2.952,4.937,4.076,104.534,4.39,44.26,19.1,2.57,2.81,41.68,73.86,6.86,10.3,2.39,1.93,7.17,6
2014,VIL,D,454.42,8.13,4.821,2.501,8.956,3.085,91.696,3.18,379.22,11.9,2.8,3.28,50.4,85.96,16.5,6.33,2.05,1.9,5.07,2.55
2014,VIL,U1,434.3,8.172,5.013,2.598,4.11,1.818,95.078,3.17,8.03,2.82,1.64,1.93,22.13,41.43,7.17,5.14,1.84,1.59,4.47,4.04
2014,VIL,U2,430.96,8.2,4.967,2.554,4.127,2.01,93.573,3.08,7.18,3.16,1.64,1.73,16.34,53.9,6.61,5.33,1.66,1.56,5.07,2
2014,ZUL,D,835.88,8.248,4.778,5.232,8.129,6.252,161.818,19.98,35.16,8.18,2.66,2.81,240.69,336.2,9.92,271.76,2.13,1.87,10.25,9.15
2014,ZUL,U1,818.5,8.158,4.932,5.262,5.06,5.121,162.206,19.89,20.45,3.78,0.88,1.02,17.45,38.28,6.16,274.97,1.92,1.72,10.03,6.58
2014,ZUL,U2,851.46,8.272,4.881,5.488,4.902,5.559,166.26,20.58,24.58,4.28,0.9,1.02,17.76,40.24,6.55,296.67,1.88,1.65,10.16,1.75
