Year ,Site,Location,SPEAR,median_msPAFraMix_all,median_msPAFraMix_HM,median_msPAFraMix_Oth,median_msPAFraMix_PB,median_msPAFraMix_org,median_msPAFraMix_F,median_msPAFraMix_H,median_msPAFraMix_I,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med
2013,KER,D,19.77033214,0.001483445,NA,0.000293669,0.001190125,0.001483445,9.78E-07,1.05E-05,0.001175798,0,6.01E-05,0.000763701,0.0008238,0.0008238,8.98E-05,7.62E-05,0.000535326,0,5.17E-05,0.000929118,0.000980821,0.000980821,0.000152314,6.17E-05,0.000644967,0,0.000616631,0.008872961,0.009489592,0.009489592,3.34E-05,8.26E-05,0.008723746,0,0.000612807,0.009796885,0.010409692,0.010409692,2.82E-05,8.08E-05,0.00966234
2013,KER,U1,23.5023227,0.000542127,NA,1.00E-10,0.000542127,0.000542127,3.52E-07,2.58E-06,0.00053841,0,1.83E-06,0.000138831,0.00014066,0.00014066,5.38E-05,6.47E-05,2.03E-05,0,1.44E-06,0.000284309,0.000285751,0.000285751,9.01E-05,6.09E-05,0.000133322,0,1.56E-06,0.000107035,0.000108592,0.000108592,1.79E-05,8.88E-05,2.68E-07,0,1.12E-06,0.000102806,0.000103923,0.000103923,1.41E-05,8.85E-05,2.12E-07
2014,KNO,D,19.11649429,0.000354951,1.02E-05,0.000210513,0.000133243,0.000267104,2.50E-10,2.70E-05,8.69E-05,0.008050769,3.51E-05,4.97E-05,0.008123355,7.43E-05,5.10E-06,2.02E-05,2.20E-05,0.010377276,3.04E-05,5.69E-05,0.010442589,7.19E-05,8.77E-06,1.23E-05,3.43E-05,0.034101594,2.50E-05,0.000540334,0.037531291,0.000563753,3.14E-05,8.15E-06,0.000472294,0.03127716,2.24E-05,0.000577313,0.035433273,0.000598276,2.06E-05,7.95E-06,0.000523261
2014,KNO,U1,31.61442349,0.000113416,2.75E-06,0,4.75E-05,4.76E-05,0,3.30E-06,4.46E-05,0.004426879,3.39E-07,1.99E-05,0.004480513,2.02E-05,1.13E-06,8.35E-06,5.43E-07,0.005794251,3.11E-07,2.20E-05,0.005813271,2.22E-05,2.63E-06,3.27E-06,1.08E-05,0.017546385,1.85E-07,1.58E-05,0.017607405,1.68E-05,8.68E-06,2.26E-06,5.02E-09,0.01659195,1.65E-07,1.04E-05,0.016890752,1.13E-05,4.80E-06,2.75E-06,5.00E-09
2014,MAR,D,26.02196869,0.000368241,9.61E-06,0.000156035,0.000197888,0.00031526,5.10E-09,9.30E-06,0.000194918,0.009412406,2.65E-05,0.000389818,0.009941663,0.000416102,2.08E-05,9.54E-06,0.000332852,0.012294897,2.33E-05,0.000359892,0.012736516,0.000382028,2.62E-05,5.98E-06,0.000301593,0.039557557,2.06E-05,0.001334544,0.041308847,0.001663685,8.67E-05,4.52E-06,0.001216632,0.036800559,1.85E-05,0.001494285,0.038741429,0.001821695,7.35E-05,4.73E-06,0.001392385
2014,MAR,U1,24.5370203,4.10E-06,3.33E-06,0,9.27E-07,9.27E-07,1.10E-09,8.43E-07,0,0.00624901,2.07E-07,2.24E-05,0.006318215,2.25E-05,1.32E-05,4.46E-06,2.60E-08,0.008259149,1.82E-07,3.75E-05,0.008317868,3.76E-05,1.36E-05,2.27E-06,2.57E-08,0.025947005,1.29E-07,4.68E-05,0.026054981,4.69E-05,3.76E-05,1.21E-06,1.28E-08,0.024515447,1.14E-07,4.22E-05,0.024615229,4.23E-05,3.48E-05,1.46E-06,1.27E-08
2013,MES,D,20.02967274,0.00501567,NA,5.40E-05,0.004962014,0.00501567,4.90E-08,8.09E-05,0.004881621,0,1.51E-05,0.003358402,0.003373452,0.003373452,1.75E-05,0.00013038,0.003190183,0,1.32E-05,0.003536355,0.003549543,0.003549543,1.89E-05,6.73E-05,0.003426718,0,9.72E-06,0.068356372,0.068366088,0.068366088,4.31E-05,5.32E-05,0.068249705,0,8.64E-06,0.075713878,0.075722521,0.075722521,4.18E-05,5.32E-05,0.07561063
2013,MES,U1,18.16983629,0.010706682,NA,3.65E-08,0.010706646,0.010706682,5.94E-08,0.009659878,0.001059836,0,2.74E-07,0.000554019,0.000554293,0.000554293,1.66E-05,0.000101567,0.000433327,0,2.16E-07,0.000615086,0.000615302,0.000615302,1.73E-05,6.06E-05,0.000534347,0,2.23E-07,0.009564345,0.009564567,0.009564567,5.52E-05,5.81E-05,0.009445849,0,1.96E-07,0.010580783,0.010580979,0.010580979,5.42E-05,5.78E-05,0.010465194
2014,MUR,D,32.55664739,0.001891558,4.98E-05,0.000382242,0.000991077,0.001787044,1.03E-08,4.90E-05,0.000921828,0.010021085,5.04E-05,0.00096258,0.011615071,0.000999298,3.04E-05,2.37E-05,0.000649223,0.012560261,4.53E-05,0.001005742,0.013926852,0.001061683,3.68E-05,1.63E-05,0.000661762,0.044495035,3.57E-05,0.011366423,0.056033783,0.01142894,0.000106415,1.25E-05,0.010880058,0.039618851,3.25E-05,0.012395634,0.052873677,0.012451705,8.79E-05,9.45E-06,0.012050327
2014,MUR,U1,35.07492419,0.000150948,3.62E-06,0,0.000134717,0.000134717,0,3.64E-07,0.000134516,0.001784024,5.30E-08,8.46E-06,0.00221624,8.56E-06,1.60E-07,3.59E-06,2.73E-06,0.002375154,4.42E-08,2.57E-05,0.003058138,2.58E-05,4.14E-07,1.05E-06,2.35E-05,0.007306911,3.09E-08,2.74E-06,0.008280598,2.77E-06,5.06E-07,5.67E-07,2.24E-08,0.006922761,2.56E-08,2.21E-06,0.008922248,2.24E-06,4.05E-07,1.28E-06,2.24E-08
