"Year","Site_code","Location","Sample_location","Leaf","Rep","Days","T_mu","DD","k_microbe","k_microbe_day","k_microbe_dd","k_invert","k_invert_day","k_invert_dd"
2013,"KER","DS","3_D","oak",1,34,8.38235294117647,285,0.158304764350815,0.00465602248090633,0.000555455313511633,0.0105703348587691,0.000310892201728503,3.70888942412951e-05
2013,"KER","DS","3_D","oak",2,34,8.38235294117647,285,0.151704080319463,0.00446188471527833,0.000532295018664783,0.055174641095523,0.00162278356163303,0.000193595231914116
2013,"KER","DS","3_D","oak",3,34,8.38235294117647,285,0.226824710787571,0.00667131502316386,0.000795876178202004,0.0516720105443209,0.00151976501600944,0.000181305300155512
2013,"KER","DS","3_D","oak",4,34,8.38235294117647,285,0.168288208334999,0.00494965318632349,0.000590484941526311,0.0872629556470235,0.0025665575190301,0.000306185809287802
2013,"KER","DS","3_D","oak",5,34,8.38235294117647,285,0.151704080319463,0.00446188471527833,0.000532295018664783,0.0139316825614738,0.000409755369455113,4.88830967069258e-05
2013,"KER","DS","3_D","oak",6,34,8.38235294117647,285,0.112989568138773,0.00332322259231684,0.000396454625048325,NA,NA,NA
2013,"KER","US1","2_U1","oak",1,34,7.63529411764706,259.6,0.17163829522028,0.00504818515353765,0.0006611644654094,0,0,0
2013,"KER","US1","2_U1","oak",2,34,7.63529411764706,259.6,0.209249565966064,0.00615439899900187,0.00080604609386003,0,0,0
2013,"KER","US1","2_U1","oak",3,34,7.63529411764706,259.6,0.185152014387003,0.00544564748197068,0.00071322039440294,0.0311983708558614,0.000917599142819453,0.000120178624252163
2013,"KER","US1","2_U1","oak",4,34,7.63529411764706,259.6,0.148420005118273,0.00436529426818451,0.000571725751611222,0,0,0
2013,"KER","US1","2_U1","oak",5,34,7.63529411764706,259.6,0.233942178556435,0.00688065231048339,0.000901164016010921,0,0,0
2013,"KER","US1","2_U1","oak",6,34,7.63529411764706,259.6,0.185152014387003,0.00544564748197068,0.00071322039440294,0.0743705427210699,0.00218736890356088,0.00028648128937238
2013,"KER","US2","1_U2","oak",1,34,7.59705882352941,258.3,0.13863199875211,0.00407741172800324,0.00053670924797565,0.0647665973160031,0.00190489992105891,0.000250741762741011
2013,"KER","US2","1_U2","oak",2,34,7.59705882352941,258.3,0.209249565966064,0.00615439899900187,0.000810102849268539,0.140560436685537,0.00413413049075108,0.000544175132348187
2013,"KER","US2","1_U2","oak",3,34,7.59705882352941,258.3,0.219757543564479,0.00646345716366114,0.00085078414078389,0.0757758828243724,0.00222870243601095,0.000293363851430013
2013,"KER","US2","1_U2","oak",4,34,7.59705882352941,258.3,0.119338795817432,0.00350996458286563,0.000462016243969925,0.00801378072355354,0.000235699433045692,3.10250899092278e-05
2013,"KER","US2","1_U2","oak",5,34,7.59705882352941,258.3,0.233942178556435,0.00688065231048339,0.000905699491120539,0.0395400343703276,0.00116294218736258,0.00015307794955605
2013,"KER","US2","1_U2","oak",6,34,7.59705882352941,258.3,0.230377112391939,0.00677579742329232,0.000891897454091905,0.0431051005348236,0.00126779707455364,0.000166879986584683
2013,"MES","DS","3_D","oak",1,40,4.6175,184.7,0.181756425385865,0.00454391063464663,0.00098406294199169,0,0,0
2013,"MES","DS","3_D","oak",2,40,4.6175,184.7,0.148420005118273,0.00371050012795683,0.000803573389920266,0,0,0
2013,"MES","DS","3_D","oak",3,40,4.6175,184.7,0.174999642922985,0.00437499107307463,0.000947480470617137,0,0,0
2013,"MES","DS","3_D","oak",4,40,4.6175,184.7,0.0849065993959474,0.00212266498489869,0.000459700050871399,0.0228658247370033,0.000571645618425082,0.000123799809079606
2013,"MES","DS","3_D","oak",5,40,4.6175,184.7,0.154998976216316,0.00387497440540789,0.000839193157641124,0,0,0
2013,"MES","DS","3_D","oak",6,40,4.6175,184.7,0.151704080319463,0.00379260200798658,0.000821353981155729,0.0609986944324471,0.00152496736081118,0.000330258226488614
2013,"MES","US1","2_U1","oak",1,40,4.845,193.8,0.135390504827939,0.00338476262069849,0.000698609416036839,0.0355668309947425,0.000889170774868563,0.000183523379745833
2013,"MES","US1","2_U1","oak",2,40,4.845,193.8,0.248330916008535,0.00620827290021337,0.00128137727558583,0.0459655382156411,0.00114913845539103,0.00023718027975047
2013,"MES","US1","2_U1","oak",3,40,4.845,193.8,0.198850858745165,0.00497127146862913,0.00102606222262727,0.00166527931906132,4.1631982976533e-05,8.59277254417606e-06
2013,"MES","US1","2_U1","oak",4,40,4.845,193.8,0.148420005118273,0.00371050012795683,0.000765841099681493,0.0321244868037697,0.000803112170094243,0.000165761025819245
2013,"MES","US1","2_U1","oak",6,40,4.845,193.8,0.125728593916203,0.00314321484790507,0.000648754354572769,0.0321244868037698,0.000803112170094246,0.000165761025819246
2013,"MES","US2","1_U2","oak",1,40,4.62,184.8,0.132159484246493,0.00330398710616232,0.000715148724277559,0.0406873053153913,0.00101718263288478,0.000220169401057312
2013,"MES","US2","1_U2","oak",2,40,4.62,184.8,0.100410785931913,0.00251026964829782,0.000543348408722471,0.0239924267432212,0.00059981066858053,0.000129829149043405
2013,"MES","US2","1_U2","oak",3,40,4.62,184.8,0.125728593916203,0.00314321484790506,0.000680349534178585,0.0508396767794092,0.00127099191948523,0.000275106476079054
2013,"MES","US2","1_U2","oak",4,40,4.62,184.8,0.151704080319463,0.00379260200798658,0.00082090952553822,0.0108343421657101,0.000270858554142753,5.86273926715915e-05
2013,"MES","US2","1_U2","oak",5,40,4.62,184.8,0.125728593916203,0.00314321484790507,0.000680349534178586,0.0373259576126864,0.000933148940317161,0.00020198029011194
2013,"MES","US2","1_U2","oak",6,40,4.62,184.8,0.17163829522028,0.00429095738050701,0.000928778653789396,0.0508396767794092,0.00127099191948523,0.000275106476079054
2013,"NIE","DS","3_D","oak",1,36,7.77222222222222,279.8,0.132159484246493,0.00367109678462481,0.000472335540552155,0.157819105928059,0.00438386405355718,0.000564042551565613
2013,"NIE","DS","3_D","oak",2,36,7.77222222222222,279.8,0.178372327401625,0.00495478687226735,0.000637499383136614,0.0553673810184642,0.00153798280606845,0.000197881990773639
2013,"NIE","DS","3_D","oak",3,36,7.77222222222222,279.8,0.285235472943986,0.00792320758177738,0.00101942627928515,0.183030525274555,0.00508418125762652,0.000654147695763241
2013,"NIE","DS","3_D","oak",4,36,7.77222222222222,279.8,0.248330916008535,0.00689808100023708,0.000887530078658094,0.222081040146428,0.00616891778184522,0.00079371351017308
2013,"NIE","DS","3_D","oak",5,36,7.77222222222222,279.8,0.29657774954792,0.00823827082077556,0.00105996336507477,0.0666669362723974,0.00185185934089993,0.000238266391252314
2013,"NIE","US1","2_U1","oak",1,36,7.71111111111111,277.6,0.266612960845984,0.00740591557905511,0.000960421328695907,0.0942316249631167,0.00261754513786435,0.000339451098570305
