"Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
2013,"HER","DS","3_D","coarse","oak","S",3,42,7.03095238095238,295.3,3.52,2.75,0.246860077931526,0.00587762090313157,0.00083596369092965
2013,"HER","DS","3_D","coarse","oak","S",4,42,7.03095238095238,295.3,3.52,2.58,0.31067159067648,0.00739694263515428,0.00105205415061456
2013,"HER","US1","2_U1","coarse","oak","S",1,42,5.79285714285714,243.3,3.52,2.86,0.207639364778244,0.00494379439948201,0.000853429366125131
2013,"HER","US1","2_U1","coarse","oak","S",2,42,5.79285714285714,243.3,3.52,2.8,0.228841572428848,0.00544860886735351,0.000940573663908128
2013,"HER","US1","2_U1","coarse","oak","S",3,42,5.79285714285714,243.3,3.52,2.97,0.169899036795397,0.00404521516179518,0.000698310878731597
2013,"HER","US1","2_U1","coarse","oak","S",4,42,5.79285714285714,243.3,3.52,2.87,0.204148959838476,0.00486068951996371,0.000839083271017163
2013,"HER","US1","2_U1","coarse","oak","S",5,42,5.79285714285714,243.3,3.52,2.97,0.169899036795397,0.00404521516179518,0.000698310878731597
2013,"HER","US2","1_U2","coarse","oak","I",1,42,6.06190476190476,254.6,3.52,2.76,0.243230309880947,0.00579119785430827,0.000955342929618803
2013,"HER","US2","1_U2","coarse","oak","S",2,42,6.06190476190476,254.6,3.52,2.73,0.254159380413137,0.00605141381936041,0.000998269365330469
2013,"HER","US2","1_U2","coarse","oak","S",3,42,6.06190476190476,254.6,3.52,2.86,0.207639364778244,0.00494379439948201,0.000815551314918478
2013,"HER","US2","1_U2","coarse","oak","I",4,42,6.06190476190476,254.6,3.52,2.86,0.207639364778244,0.00494379439948201,0.000815551314918478
2013,"HER","US2","1_U2","coarse","oak","S",5,42,6.06190476190476,254.6,3.52,2.7,0.265209216599722,0.00631450515713624,0.00104167013589836
