"Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
2013,"HER","US2","1_U2","fine","oak","S",5,42,6.06190476190476,254.6,3.538,3.06,0.145146679773304,0.00345587332793581,0.000570096935480377
2013,"HOC","DS","3_D","fine","oak","S",1,32,7.446875,238.3,3.538,3.01,0.161621516976809,0.00505067240552529,0.000678227096000038
2013,"HOC","DS","3_D","fine","oak","S",2,32,7.446875,238.3,3.538,3.2,0.100410785931913,0.00313783706037227,0.000421362928795269
2013,"HOC","DS","3_D","fine","oak","S",3,32,7.446875,238.3,3.538,3.1,0.132159484246493,0.0041299838827029,0.000554592883955069
2013,"HOC","DS","3_D","fine","oak","S",5,32,7.446875,238.3,3.538,3.07,0.141884034138488,0.00443387606682774,0.000595400898608845
2013,"HOC","DS","3_D","fine","oak","S",6,32,7.446875,238.3,3.538,2.95,0.181756425385865,0.00567988829330829,0.000762721046520626
2013,"HOC","US1","2_U1","fine","oak","S",1,32,7.021875,224.7,3.538,3.12,0.125728593916203,0.00392901855988133,0.000559539803810425
2013,"HOC","US1","2_U1","fine","oak","S",2,32,7.021875,224.7,3.538,3.03,0.154998976216316,0.00484371800675987,0.000689804077509194
2013,"HOC","US1","2_U1","fine","oak","S",5,32,7.021875,224.7,3.538,2.9,0.198850858745165,0.00621408933578641,0.000884961543147152
2013,"HOC","US1","2_U1","fine","oak","S",6,32,7.021875,224.7,3.538,2.88,0.205771301589739,0.00643035317467934,0.000915760131685531
2013,"HOC","US1","2_U1","fine","oak","P",4,32,7.021875,224.7,3.538,3.06,0.145146679773304,0.00453583374291575,0.000645957631389871
2013,"HOC","US1","2_U1","fine","oak","S",3,32,7.021875,224.7,3.538,2.99,0.168288208334998,0.0052590065104687,0.000748946187516682
2013,"HOC","US2","1_U2","fine","oak","S",5,32,7.278125,232.9,3.538,3.03,0.154998976216316,0.00484371800675986,0.0006655172873178
2013,"HOC","US2","1_U2","fine","oak","P",1,32,7.278125,232.9,3.538,2.87,0.209249565966064,0.00653904893643949,0.000898452408613413
2013,"HOC","US2","1_U2","fine","oak","S",2,32,7.278125,232.9,3.538,2.89,0.202305093613253,0.00632203417541415,0.000868635009073648
2013,"HOC","US2","1_U2","fine","oak","S",3,32,7.278125,232.9,3.538,2.91,0.195408514554192,0.00610651607981851,0.000839023248407867
2013,"HOC","US2","1_U2","fine","oak","P",4,32,7.278125,232.9,3.538,2.91,0.195408514554192,0.00610651607981851,0.000839023248407868
