"Year","Site_code","Location","Mesh","Leaf","Rep","ID","AFDM","nbsp","sing.sp","qual.FRic","FRic","FEve","FDiv","FDis","RaoQ","FGR"
2013,"COL","U2","Coarse","Oak",2,140,2.94,4,4,0.322692896994291,0.209099123865371,0.617573725160846,0.978191477892866,4.29679667809495,32.8435703685676,4
2013,"COL","U2","Coarse","Oak",3,141,2.92,4,4,0.322692896994291,0.211533742005222,0.571312049156096,0.623523156576596,3.13446517685301,24.3520001606051,3
2013,"COL","U2","Coarse","Oak",4,142,2.98,2,2,0.322692896994291,NA,NA,NA,4.03506877441154,29.3072040256159,2
2013,"COL","U2","Coarse","Oak",5,143,2.84,4,4,0.322692896994291,0.23144505754658,0.405049979127077,0.518946490614577,4.80765442562694,41.1305833088095,4
2013,"COL","U2","Coarse","Oak",6,144,2.72,1,1,0.322692896994291,NA,NA,NA,0,0,1
2013,"DUR","D","Coarse","Oak",2,164,2.66,4,4,0.322692896994291,0.182082819278818,0.523633119798928,0.582417160841619,0.91818991343244,6.69104692049144,3
2013,"DUR","D","Coarse","Oak",3,165,2.87,5,5,0.322692896994291,0.189758892502037,0.819669839542018,0.608097427285911,7.74230894574166,64.4783808216521,4
2013,"DUR","D","Coarse","Oak",4,166,2.81,3,3,0.322692896994291,0.116094554491139,0.688572476786111,0.812424284411037,7.1464128156593,55.836257905579,3
2013,"DUR","D","Coarse","Oak",5,167,2.9,3,3,0.322692896994291,0.0659882647876783,0.856515788483352,0.865773132585472,6.8788020599062,48.0799717259137,2
2013,"DUR","D","Coarse","Oak",6,168,2.9,5,5,0.322692896994291,0.341040247209851,0.566090816852208,0.709066454506094,2.71775502282904,20.3845810859947,4
2013,"DUR","U1","Coarse","Oak",1,187,2.9,5,5,0.322692896994291,0.252031490645376,0.740275314737882,0.711922470738346,7.71650348515251,67.679649421114,4
2013,"DUR","U1","Coarse","Oak",3,189,2.9,3,3,0.322692896994291,0.0382113166794886,0.234446693338379,0.988553427435358,2.38053823183126,15.5829352750287,3
2013,"DUR","U1","Coarse","Oak",4,190,2.76,3,3,0.322692896994291,0.0659882647876783,0.615930238035195,0.944598862848364,5.30886388705851,36.6573184381115,2
2013,"DUR","U1","Coarse","Oak",5,191,2.76,1,1,0.322692896994291,NA,NA,NA,0,0,1
2013,"DUR","U2","Coarse","Oak",1,211,2.71,2,2,0.322692896994291,NA,NA,NA,0.284800462490058,2.06854101563688,2
2013,"DUR","U2","Coarse","Oak",2,212,2.73,4,4,0.322692896994291,0.104199581467167,0.517519164751895,0.994818780958018,0.676622294948912,4.63512938774743,3
2013,"DUR","U2","Coarse","Oak",3,213,2.87,1,1,0.322692896994291,NA,NA,NA,0,0,1
2013,"DUR","U2","Coarse","Oak",4,214,2.82,3,3,0.322692896994291,0.0382113166794886,0.0855773142308645,0.9939069181142,0.904014047892151,5.93438140333828,3
2013,"DUR","U2","Coarse","Oak",5,215,2.59,2,2,0.322692896994291,NA,NA,NA,1.07442659653845,7.80369337816119,2
2013,"DUR","U2","Coarse","Oak",6,216,2.81,2,2,0.322692896994291,NA,NA,NA,1.88550536605816,13.69465888782,2
2013,"HER","D","Coarse","Oak",1,235,2.7,4,4,0.322692896994291,0.152448187940291,0.98244542470654,0.770346670117862,8.66363791947121,75.7434453539485,4
