Year,Name,Site,Location,Site_code,Mesh,Leaf,Rep,Dish,Dry,Ashed,AFDM,Initial_AFDM,Days,kdays,DD,Mean_daily_temp,kdd,Person
2013,Messen,MES,DS,MES,coarse,alder,6,522,3.93,1.06,2.87,3.215,40,0.002837883,185,5,0.000614683,M
2013,Messen,MES,US1,MES,coarse,alder,1,541,1,0.25,0.75,3.215,40,0.036387736,185,5,0.007877175,M
2013,Messen,MES,US1,MES,coarse,alder,2,542,2.01,0.49,1.52,3.215,40,0.018727926,185,5,0.0040542,P
2013,Messen,MES,US1,MES,coarse,alder,3,543,2.44,0.96,1.48,3.215,40,0.019394632,185,5,0.004198528,S
2013,Messen,MES,US1,MES,coarse,alder,4,544,2.82,1.02,1.8,3.215,40,0.014501017,185,5,0.003139164,S
2013,Messen,MES,US1,MES,coarse,alder,5,545,2.73,0.85,1.88,3.215,40,0.01341389,185,5,0.002903823,S
2013,Messen,MES,US1,MES,coarse,alder,6,546,3.23,0.99,2.24,3.215,40,0.009033787,185,5,0.001955624,P
2013,Messen,MES,US2,MES,coarse,alder,1,565,2.65,0.63,2.02,3.215,40,0.011618246,185,5,0.002515105,P
2013,Messen,MES,US2,MES,coarse,alder,2,566,2.95,0.95,2,3.215,40,0.011867004,185,5,0.002568956,S
2013,Messen,MES,US2,MES,coarse,alder,3,567,2.43,0.7,1.73,3.215,40,0.015492649,185,5,0.003353831,P
2013,Messen,MES,US2,MES,coarse,alder,4,568,3.43,1.16,2.27,3.215,40,0.008701188,185,5,0.001883623,S
2013,Messen,MES,US2,MES,coarse,alder,5,569,3.25,1.02,2.23,3.215,40,0.009145644,185,5,0.001979839,S
2013,Messen,MES,US2,MES,coarse,alder,6,570,3.25,0.95,2.3,3.215,40,0.008372956,185,5,0.001812568,P
2013,Niederdorf,NIE,DS,NIE,coarse,alder,1,589,0.76,0.29,0.47,3.215,36,0.053412498,280,8,0.006872548,S
2013,Niederdorf,NIE,DS,NIE,coarse,alder,2,590,0.44,0.11,0.33,3.215,36,0.063235833,280,8,0.008136509,M
2013,Niederdorf,NIE,DS,NIE,coarse,alder,3,591,2.82,0.66,2.16,3.215,36,0.011047754,280,8,0.001421507,S
2013,Niederdorf,NIE,DS,NIE,coarse,alder,4,592,0.76,0.23,0.53,3.215,36,0.050075156,280,8,0.006443134,M
2013,Niederdorf,NIE,DS,NIE,coarse,alder,5,593,2.18,0.52,1.66,3.215,36,0.018361382,280,8,0.002362546,M
2013,Niederdorf,NIE,US1,NIE,coarse,alder,1,613,3.18,1.2,1.98,3.215,36,0.013464737,278,8,0.001746371,M
2013,Niederdorf,NIE,US1,NIE,coarse,alder,2,614,3.15,0.96,2.19,3.215,36,0.010664606,278,8,0.001383196,M
2013,Niederdorf,NIE,US1,NIE,coarse,alder,3,615,2.81,0.96,1.85,3.215,36,0.015351159,278,8,0.00199104,M
2013,Niederdorf,NIE,US1,NIE,coarse,alder,4,616,0.6,0.27,0.33,3.215,36,0.063235833,278,8,0.008201665,M
2013,Niederdorf,NIE,US1,NIE,coarse,alder,5,617,1.44,0.54,0.9,3.215,36,0.03536633,278,8,0.004587,S
2013,Niederdorf,NIE,US1,NIE,coarse,alder,6,618,0.32,0.09,0.23,3.215,36,0.073263981,278,8,0.009502312,S
2013,Niederdorf,NIE,US2,NIE,coarse,alder,1,637,0.38,0.17,0.21,3.215,36,0.075790975,279,8,0.009793819,S
2013,Niederdorf,NIE,US2,NIE,coarse,alder,2,638,2.72,0.68,2.04,3.215,36,0.012635488,279,8,0.001632776,M
2013,Niederdorf,NIE,US2,NIE,coarse,alder,3,639,0.52,0.12,0.4,3.215,36,0.057892169,279,8,0.00748091,P
2013,Niederdorf,NIE,US2,NIE,coarse,alder,4,640,1.63,0.45,1.18,3.215,36,0.027842026,279,8,0.003597787,M
2013,Niederdorf,NIE,US2,NIE,coarse,alder,5,641,2.26,0.54,1.72,3.215,36,0.017375085,279,8,0.002245234,P
2013,Niederdorf,NIE,US2,NIE,coarse,alder,6,642,1.14,0.24,0.9,3.215,36,0.03536633,279,8,0.004570088,M
2013,Romont,ROM,DS,ROM,coarse,alder,1,661,3.33,0.92,2.41,3.215,35,0.008234303,208,6,0.001383271,S
2013,Romont,ROM,DS,ROM,coarse,alder,2,662,3.32,0.93,2.39,3.215,35,0.0084724,208,6,0.001423268,P
2013,Romont,ROM,DS,ROM,coarse,alder,3,663,3.67,1.63,2.04,3.215,35,0.012996501,208,6,0.002183267,M
2013,Romont,ROM,DS,ROM,coarse,alder,5,665,2.99,0.73,2.26,3.215,35,0.010070358,208,6,0.001691708,M
2013,Romont,ROM,DS,ROM,coarse,alder,6,666,3.24,0.97,2.27,3.215,35,0.009944215,208,6,0.001670517,P
