"Year","Site","Location","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med"
2013,"KER","U2",23.5023227,0.000542127,NA,1e-10,0.000542127,0.000542127,3.52e-07,2.58e-06,0.00053841,0,1.83e-06,0.000138831,0.00014066,0.00014066,5.38e-05,6.47e-05,2.03e-05,0,1.44e-06,0.000284309,0.000285751,0.000285751,9.01e-05,6.09e-05,0.000133322,0,1.56e-06,0.000107035,0.000108592,0.000108592,1.79e-05,8.88e-05,2.68e-07,0,1.12e-06,0.000102806,0.000103923,0.000103923,1.41e-05,8.85e-05,2.12e-07
2013,"MES","D",20.02967274,0.00501567,NA,5.4e-05,0.004962014,0.00501567,4.9e-08,8.09e-05,0.004881621,0,1.51e-05,0.003358402,0.003373452,0.003373452,1.75e-05,0.00013038,0.003190183,0,1.32e-05,0.003536355,0.003549543,0.003549543,1.89e-05,6.73e-05,0.003426718,0,9.72e-06,0.068356372,0.068366088,0.068366088,4.31e-05,5.32e-05,0.068249705,0,8.64e-06,0.075713878,0.075722521,0.075722521,4.18e-05,5.32e-05,0.07561063
2013,"MES","U1",18.16983629,0.010706682,NA,3.65e-08,0.010706646,0.010706682,5.94e-08,0.009659878,0.001059836,0,2.74e-07,0.000554019,0.000554293,0.000554293,1.66e-05,0.000101567,0.000433327,0,2.16e-07,0.000615086,0.000615302,0.000615302,1.73e-05,6.06e-05,0.000534347,0,2.23e-07,0.009564345,0.009564567,0.009564567,5.52e-05,5.81e-05,0.009445849,0,1.96e-07,0.010580783,0.010580979,0.010580979,5.42e-05,5.78e-05,0.010465194
2013,"MES","U2",18.16983629,0.010706682,NA,3.65e-08,0.010706646,0.010706682,5.94e-08,0.009659878,0.001059836,0,2.74e-07,0.000554019,0.000554293,0.000554293,1.66e-05,0.000101567,0.000433327,0,2.16e-07,0.000615086,0.000615302,0.000615302,1.73e-05,6.06e-05,0.000534347,0,2.23e-07,0.009564345,0.009564567,0.009564567,5.52e-05,5.81e-05,0.009445849,0,1.96e-07,0.010580783,0.010580979,0.010580979,5.42e-05,5.78e-05,0.010465194
2013,"NIE","D",37.75280045,0.000196462,NA,5.26e-05,0.00014382,0.000196462,5e-11,2.81e-07,0.000143539,0,1.41e-05,0.000101001,0.000115064,0.000115064,1.37e-05,1.46e-06,8.2e-05,0,1.12e-05,0.000115024,0.000126197,0.000126197,1.56e-05,1.73e-06,9.4e-05,0,0.000570286,0.001240448,0.001810734,0.001810734,2.3e-05,1.33e-06,0.001210346,0,0.000569644,0.001360636,0.00193028,0.00193028,1.58e-05,6.88e-07,0.001340258
2013,"NIE","U1",39.41474525,8.79e-05,NA,0,8.79e-05,8.79e-05,0,1.54e-08,8.78e-05,0,3.01e-07,3.05e-06,3.35e-06,3.35e-06,0,4.21e-07,8.09e-07,0,2.59e-07,1.83e-05,1.85e-05,1.85e-05,0,4.91e-07,1.57e-05,0,2.51e-07,4.18e-06,4.43e-06,4.43e-06,0,3.7e-07,2.93e-08,0,2.26e-07,2.84e-06,3.07e-06,3.07e-06,0,1.94e-07,2.93e-08
2013,"NIE","U2",39.41474525,8.79e-05,NA,0,8.79e-05,8.79e-05,0,1.54e-08,8.78e-05,0,3.01e-07,3.05e-06,3.35e-06,3.35e-06,0,4.21e-07,8.09e-07,0,2.59e-07,1.83e-05,1.85e-05,1.85e-05,0,4.91e-07,1.57e-05,0,2.51e-07,4.18e-06,4.43e-06,4.43e-06,0,3.7e-07,2.93e-08,0,2.26e-07,2.84e-06,3.07e-06,3.07e-06,0,1.94e-07,2.93e-08
2013,"ROM","D",30.73757409,0.000134199,NA,6.95e-05,6.47e-05,0.000134199,1.25e-08,9.59e-07,6.37e-05,0,2.15e-05,0.000145878,0.000167352,0.000167352,5.83e-05,5.19e-06,6.03e-05,0,1.79e-05,0.000154881,0.000172788,0.000172788,5.96e-05,4.51e-06,6.53e-05,0,0.000435574,0.001400478,0.001836052,0.001836052,7.09e-05,3.89e-06,0.001311991,0,0.000433982,0.001531008,0.00196499,0.00196499,6.31e-05,3.95e-06,0.001453566
2013,"ROM","U1",34.61677595,2.01e-05,NA,5.32e-08,2e-05,2.01e-05,9.5e-10,5e-07,1.95e-05,0,2.75e-06,3.17e-05,3.44e-05,3.44e-05,6.47e-06,2.85e-06,2.15e-05,0,2.4e-06,3.24e-05,3.48e-05,3.48e-05,6.85e-06,2e-06,2.25e-05,0,2.41e-06,0.000484497,0.000486911,0.000486911,8.85e-06,1.52e-06,0.000472317,0,2.06e-06,0.000533579,0.000535635,0.000535635,7.4e-06,1.65e-06,0.000523284
2013,"ROM","U2",34.61677595,2.01e-05,NA,5.32e-08,2e-05,2.01e-05,9.5e-10,5e-07,1.95e-05,0,2.75e-06,3.17e-05,3.44e-05,3.44e-05,6.47e-06,2.85e-06,2.15e-05,0,2.4e-06,3.24e-05,3.48e-05,3.48e-05,6.85e-06,2e-06,2.25e-05,0,2.41e-06,0.000484497,0.000486911,0.000486911,8.85e-06,1.52e-06,0.000472317,0,2.06e-06,0.000533579,0.000535635,0.000535635,7.4e-06,1.65e-06,0.000523284
2013,"ROT","D",47.47604207,1.29e-05,NA,1.25e-05,4.46e-07,1.29e-05,0,4.45e-07,0,0,4.4e-06,5.19e-06,9.59e-06,9.59e-06,1.93e-06,9.62e-07,6.93e-08,0,3.64e-06,5.34e-06,8.98e-06,8.98e-06,1.85e-06,8.94e-07,6.86e-08,0,0.000119324,6.95e-06,0.000126277,0.000126277,1.51e-06,7.2e-07,8e-08,0,0.000119081,5.25e-06,0.000124336,0.000124336,1.45e-06,5.15e-07,8e-08
2013,"ROT","U1",49.59962202,3.48e-07,NA,7.2e-08,2.76e-07,3.48e-07,0,2.76e-07,0,0,3.43e-07,1.47e-06,1.81e-06,1.81e-06,0,7.47e-07,2.25e-08,0,3.2e-07,1.5e-06,1.82e-06,1.82e-06,0,6.88e-07,2.23e-08,0,2.54e-07,2.04e-06,2.29e-06,2.29e-06,0,5.51e-07,2.6e-08,0,2.39e-07,1.44e-06,1.67e-06,1.67e-06,0,3.97e-07,2.6e-08
2013,"ROT","U2",49.59962202,3.48e-07,NA,7.2e-08,2.76e-07,3.48e-07,0,2.76e-07,0,0,3.43e-07,1.47e-06,1.81e-06,1.81e-06,0,7.47e-07,2.25e-08,0,3.2e-07,1.5e-06,1.82e-06,1.82e-06,0,6.88e-07,2.23e-08,0,2.54e-07,2.04e-06,2.29e-06,2.29e-06,0,5.51e-07,2.6e-08,0,2.39e-07,1.44e-06,1.67e-06,1.67e-06,0,3.97e-07,2.6e-08
2013,"SEV","D",28.36566105,0.000104357,NA,1.5e-05,8.93e-05,0.000104357,2.03e-08,3.89e-06,8.54e-05,0,7.98e-06,0.000161071,0.000169055,0.000169055,1.38e-05,5.41e-05,8.76e-05,0,7.63e-06,0.000221277,0.000228902,0.000228902,1.33e-05,5e-05,0.000152619,0,4.96e-06,0.000553354,0.000558311,0.000558311,1.42e-05,4.81e-05,0.000482456,0,4.72e-06,0.000586887,0.000591609,0.000591609,1.3e-05,4.71e-05,0.000520935
