Year,Site,Location,Total_TU_mu,Total_TU_med,Total_TU_max,Metal_TU_mu,Metal_TU_med,Metal_TU_max,Fung_TU_mu,Herb_TU_mu,Insect_TU_mu,Other_TU_mu,Pharma_TU_mu,Fung_TU_med,Herb_TU_med,Insect_TU_med,Other_TU_med,Pharma_TU_med,Fung_TU_max,Herb_TU_max,Insect_TU_max,Other_TU_max,Pharma_TU_max,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,maxTU_HM,maxTU_Oth,maxTU_PB
2013,MES,U1,0.009629045,0.009629045,0.019253998,NA,NA,NA,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08,0.000118449,0.000135241,0.018891619,0.000108501,1.88E-07,NA,2.74E-07,0.000554019,0.000554293,0.000554293,1.66E-05,0.000101567,0.000433327,NA,2.23E-07,0.009564345,0.009564567,0.009564567,NA,4.55E-07,0.001094178
2013,MES,U2,0.009629045,0.009629045,0.019253998,NA,NA,NA,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08,0.000118449,0.000135241,0.018891619,0.000108501,1.88E-07,NA,2.74E-07,0.000554019,0.000554293,0.000554293,1.66E-05,0.000101567,0.000433327,NA,2.23E-07,0.009564345,0.009564567,0.009564567,NA,4.55E-07,0.001094178
2013,NIE,D,0.004475715,0.004475715,0.00649523,NA,NA,NA,2.88E-05,1.96E-06,0.001210346,0.002562444,0.000672192,2.88E-05,1.96E-06,0.001210346,0.002562444,0.000672192,5.75E-05,3.89E-06,0.002420679,0.002674091,0.00133903,NA,1.41E-05,0.000101001,0.000115064,0.000115064,1.37E-05,1.46E-06,8.20E-05,NA,0.000570286,0.001240448,0.001810734,0.001810734,NA,1.91E-05,0.000200619
2013,NIE,U1,7.70E-05,7.70E-05,7.77E-05,NA,NA,NA,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08,7.57E-06,1.06E-06,4.40E-08,7.77E-05,5.65E-08,NA,3.01E-07,3.05E-06,3.35E-06,3.35E-06,0,4.21E-07,8.09E-07,NA,2.51E-07,4.18E-06,4.43E-06,4.43E-06,NA,3.19E-07,4.51E-06
2013,NIE,U2,7.70E-05,7.70E-05,7.77E-05,NA,NA,NA,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08,7.57E-06,1.06E-06,4.40E-08,7.77E-05,5.65E-08,NA,3.01E-07,3.05E-06,3.35E-06,3.35E-06,0,4.21E-07,8.09E-07,NA,2.51E-07,4.18E-06,4.43E-06,4.43E-06,NA,3.19E-07,4.51E-06
2013,ROM,D,0.006212971,0.006212971,0.006647457,NA,NA,NA,8.46E-05,4.51E-06,0.001311991,0.004295099,0.000516775,8.46E-05,4.51E-06,0.001311991,0.004295099,0.000516775,0.000130446,6.18E-06,0.002099216,0.005109015,0.001022128,NA,2.15E-05,0.000145878,0.000167352,0.000167352,5.83E-05,5.19E-06,6.03E-05,NA,0.000435574,0.001400478,0.001836052,0.001836052,NA,2.46E-05,0.000158392
2013,ROM,U1,0.001792427,0.001792427,0.002914503,NA,NA,NA,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07,1.46E-05,2.04E-06,0.000945066,0.001959574,1.50E-06,NA,2.75E-06,3.17E-05,3.44E-05,3.44E-05,6.47E-06,2.85E-06,2.15E-05,NA,2.41E-06,0.000484497,0.000486911,0.000486911,NA,3.60E-06,5.02E-05
2013,ROM,U2,0.001792427,0.001792427,0.002914503,NA,NA,NA,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07,1.46E-05,2.04E-06,0.000945066,0.001959574,1.50E-06,NA,2.75E-06,3.17E-05,3.44E-05,3.44E-05,6.47E-06,2.85E-06,2.15E-05,NA,2.41E-06,0.000484497,0.000486911,0.000486911,NA,3.60E-06,5.02E-05
2013,ROT,D,0.000798406,0.000798406,0.000904053,NA,NA,NA,6.15E-06,9.87E-07,8.00E-08,0.000634436,0.00015675,6.15E-06,9.87E-07,8.00E-08,0.000634436,0.00015675,1.12E-05,1.23E-06,1.60E-07,0.000899243,0.000311017,NA,4.40E-06,5.19E-06,9.59E-06,9.59E-06,1.93E-06,9.62E-07,6.93E-08,NA,0.000119324,6.95E-06,0.000126277,0.000126277,NA,4.44E-06,7.25E-06
2013,ROT,U1,0.000172823,0.000172823,0.000205524,NA,NA,NA,1.46E-06,7.40E-07,2.60E-08,0.000167423,3.17E-06,1.46E-06,7.40E-07,2.60E-08,0.000167423,3.17E-06,2.92E-06,8.96E-07,5.20E-08,0.00020414,5.86E-06,NA,3.43E-07,1.47E-06,1.81E-06,1.81E-06,0,7.47E-07,2.25E-08,NA,2.54E-07,2.04E-06,2.29E-06,2.29E-06,NA,4.44E-07,1.98E-06
